Prenom destinataire;Nom destinataire;Code postal;Boutique (code);Date de validation de commande prévue;Reference de colis;ID (Livraison);Reference de l'expedition (Numero de tracking transporteur);Transporteur
Charlotte;Rey;91595;;;ES3995290_1754660;207363400;2869599515;DHL
Eva;Guerin;56679;;;ES4029739_1754823;207363254;2869689841;DHL
Justine;Moulin;98217;;;MB4030369_1756485;207363372;2212830233;DHL
Elisa;Renault;54194;;;ES4013205_1755415;207363351;9602192611;DHL
Maeva;Deschamps;84393;;;ES4010358_1753137;207363345;6386302834;DHL
Lina;Marty;31483;;;MB4023061_1756376;207334005;8686672;Mondial Relay
Thomas;Vincent;80571;;;MB4020634_1753578;207353749;XU732114136FR;Chronopost
Camille;Moulin;40728;;;MB4028177_1752614;207348750;XU731388187FR;Chronopost
Adam;Rodriguez;9536;;;MB3952012_1755537;207289027;XU733658973FR;Chronopost
Manon;Le roux;32713;;;MB3986311_1750692;207290514;XU730137488FR;Chronopost
Noémie;Vasseur;35307;;;MB3996754_1755500;207352156;00DOD6YC;GLS
Yanis;Garnier;47446;;;MB3926744_1750512;207295870;XU730031460FR;Chronopost
Justine;Mathieu;94287;;;MB4026942_1751065;207349640;XU730236755FR;Chronopost
Jeanne;Fontaine;68365;;;MB3989770_1755643;207352318;XU733672670FR;Chronopost
Enzo;Roger;841;;;MB4000029_1756024;207349516;XU733724522FR;Chronopost
Thomas;Brunet;50772;;;MB3917390_1756275;207297336;XU733800904FR;Chronopost
Noémie;Andre;58918;;;MB4003277_1750291;207340662;8684232;Mondial Relay
Mélissa;Baron;12772;;;MB3982756_1754520;207292182;XU732817934FR;Chronopost
Carla;Andre;98861;;;MB4030137_1755182;207341690;XU733591066FR;Chronopost
Lena;Guillaume;69704;;;MB4030266_1756202;207334263;8686629;Mondial Relay
Mael;Giraud;43488;;;MB3980467_1751262;207341653;XU730513277FR;Chronopost
Raphaël;Martin;41762;;;MB4025986_1756511;207330315;8686729;Mondial Relay
Antoine;Lopez;15824;;;MB4030600_1756986;207328230;8686903;Mondial Relay
Louna;Martin;46333;;;MB4015216_1753548;207353384;00DNV0YK;GLS
Camille;Rolland;43754;;;MB3991611_1755126;207351882;00DNKZ8D;GLS
Camille;Renard;55538;;;MB4015411_1744226;207358353;00DNG7M1;GLS
Gabriel;Remy;91295;;;MB4026277_1749857;207349144;XU729551794FR;Chronopost
Julien;Noel;70691;;;MB3981325_1750597;207341782;XU733576829FR;Chronopost
Jules;Vasseur;7600;;;MB3939917_1755584;207288894;XU733665617FR;Chronopost
Camille;Rey;37578;;;MB4006576_1756081;207332629;8686580;Mondial Relay
Lucas;Menard;22143;;;MB4030529_1756840;207328335;8686835;Mondial Relay
Clémence;Royer;41792;;;MB4028616_1753113;207331167;8685400;Mondial Relay
Clément;Roussel;29561;;;MB4029903_1755013;207358799;00DNV43S;GLS
Rayan;Royer;48849;;;MB4029147_1754477;207356409;00DNIL8U;GLS
Romain;Dumas;69036;;;MB4023071_1754085;207355315;00DNG3M1;GLS
Maxence;Michel;89027;;;MB3984961_1750511;207295821;XU730031442FR;Chronopost
Julie;Morin;38143;;;MB4001527_1750703;207358336;00DNG7LP;GLS
Clémence;Brunet;26437;;;MB4020466_1756245;207351667;00DO46SK;GLS
Nathan;Robin;23723;;;MB4028780_1753683;207358200;00DN9VIZ;GLS
Léo;Richard;16038;;;MB3996269_1753313;207357334;00DO402R;GLS
Maëlys;Colin;43065;;;MB4007734_1755977;207352305;00DNV66J;GLS
Lucas;Dupuy;97380;;;MB4029832_1754979;207358821;00DNV43L;GLS
Pierre;Girard;44709;;;MB4029268_1754548;207328292;8685981;Mondial Relay
Marie;Lecomte;28605;;;MB4030692_1757264;207354370;XT337229069FR;Chronopost
Léo;Nicolas;37884;;;MB4022923_1757339;207640590;00DNGAX1;GLS
Jules;Brunet;74727;;;MB4030192_1755729;207641179;00DOFADN;GLS
Mélissa;Bernard;26742;;;MB3971339_1754637;207290819;XU732945828FR;Chronopost
Louis;Bonnet;35524;;;MB4020911_1755914;207636555;00DOFAGR;GLS
Quentin;Noel;44064;;;MB4020532_1756546;207629132;XU733924342FR;Chronopost
Mathilde;Hubert;99888;;;MB3985713_1758580;207588158;XU735257828FR;Chronopost
Lena;Fernandez;60177;;;MB4019653_1753611;207627327;XU732118711FR;Chronopost
Océane;Da silva;6831;;;ES3989759_1756934;207328997;8686876;Mondial Relay
Jeanne;Lemoine;35793;;;MB4029344_1754600;207340184;8686000;Mondial Relay
Noa;David;93542;;;ES4029153_1754466;207337533;8685936;Mondial Relay
Jade;Hubert;48606;;;ES3993710_1753316;207336647;8685471;Mondial Relay
Alexandre;Rousseau;26427;;;MB4030517_1756820;207329066;8686823;Mondial Relay
Anaïs;Louis;41110;;;ES4029993_1755055;207340510;8686193;Mondial Relay
Mathéo;Royer;64838;;;ES4026194_1749822;207337728;8684041;Mondial Relay
Mélissa;Berger;58393;;;MB4002014_1755695;207334849;8686455;Mondial Relay
Lucas;Renaud;43864;;;MB4027285_1757211;207344363;XT337220215FR;Chronopost
Evan;Carre;51143;;;MB3992196_1755679;207644466;00DOFAD4;GLS
Clémence;Gerard;20335;;;AM3908552_1753155;207341799;XU733833902FR;Chronopost
Maxence;Leclerc;15891;;;MB3938612_1757030;207588107;XU734137996FR;Chronopost
Camille;Roche;27088;;;MB3982743_1751997;207342390;XT336702879FR;Chronopost
Julien;Giraud;1121;;;MB3928861_1756830;207353380;XU734020555FR;Chronopost
Carla;Caron;19887;;;MB3952569_1758417;207588190;XU735195023FR;Chronopost
Enzo;David;17166;;;MB3941623_1758415;207625986;XU735194924FR;Chronopost
Lina;Lefevre;42723;;;MB3981141_1750587;207341070;XU733698969FR;Chronopost
Victor;Schneider;10843;;;MB4002708_1757037;207638431;00DOD905;GLS
Clément;Richard;55848;;;MB4003509_1755910;207590049;XU733709318FR;Chronopost
Lucie;Petit;63146;;;MB4030153_1755819;207588111;XU733693811FR;Chronopost
Maëlys;Moreau;32357;;;MB4001696_1758628;207587863;XU735263338FR;Chronopost
Romain;Charles;16235;;;MB3930577_1758125;207588464;XU735037084FR;Chronopost
Romane;Le roux;33988;;;MB3986254_1755306;207289579;XU733622829FR;Chronopost
Manon;Denis;97253;;;MB3974452_1758382;207627569;XU735814574FR;Chronopost
Julie;Robert;26266;;;ES3994351_1756053;207330489;8686567;Mondial Relay
Rayan;Marie;31356;;;MB4030464_1756783;207641421;00DNL1MC;GLS
Adrien;Leroy;86623;;;MB4018061_1755580;207297516;XT337138867FR;Chronopost
Mathéo;Laurent;81382;;;MB3994958_1755221;207341962;XT337129216FR;Chronopost
Kylian;Andre;84580;;;MB3998319_1756009;207345097;XU733722447FR;Chronopost
Mathéo;Jean;96255;;;MB3989366_1754076;207356835;00DO41PH;GLS
Kylian;Perrot;84746;;;MB4031589_1758024;207588466;XU734801398FR;Chronopost
Lena;Aubry;65354;;;MB3977233_1758459;207628989;XU735198387FR;Chronopost
Ines;Guyot;13392;;;MB4028968_1754120;207339843;8685789;Mondial Relay
Mattéo;Lefebvre;57792;;;MB4022208_1756510;207328005;8686728;Mondial Relay
Mael;Gonzalez;15713;;;ES4029093_1754439;207340331;8685920;Mondial Relay
Enzo;Breton;59601;;;MB4016029_1753820;207340585;8685677;Mondial Relay
Thomas;Marie;46501;;;MB4028469_1752769;207295164;XU731492882FR;Chronopost
Axel;Dubois;85471;;;MB4031633_1758044;207638168;00DNL3M7;GLS
Juliette;Benoit;55627;;;MB3977073_1757494;207629067;XU734494919FR;Chronopost
Léo;Le gall;44694;;;MB4028065_1752461;207296180;XT336772203FR;Chronopost
Clémence;Leclercq;18778;;;MB3992765_1752161;207341315;XT336735877FR;Chronopost
Zoe;Gonzalez;47786;;;MB4003290_1758229;207675929;9L27331601584;Coliposte
Alicia;Jacquet;80826;;;MB3967347_1754118;207371816;XU732387262FR;Chronopost
Arthur;Bertrand;87253;;;MB3995321_1751291;207288617;XU730518549FR;Chronopost
Charlotte;Fontaine;61988;;;MB4030567_1758781;207643328;00DNIV4F;GLS
Zoe;Robert;37793;;;MB3999675_1755455;207352967;00DO464W;GLS
Lou;Jacquet;82637;;;MB4031882_1758722;207628620;XU735281155FR;Chronopost
Lola;Vidal;63816;;;MB3943029_1758405;207590050;XU735184547FR;Chronopost
Quentin;Benoit;89302;;;MB3984073_1758202;207588782;XU735107063FR;Chronopost
Pauline;Henry;28426;;;MB3980484_1742759;207341014;XU733841458FR;Chronopost
Rayan;Barbier;61043;;;MB4031798_1758199;207622048;8687434;Mondial Relay
Adrien;Renaud;29736;;;ES4029090_1754444;207340643;8685923;Mondial Relay
Benjamin;Maillard;52015;;;ES4030587_1756977;207328808;8686898;Mondial Relay
Lisa;Fournier;27511;;;MB4005996_1754340;207289060;XT336980444FR;Chronopost
Pierre;David;90684;;;MB4000390_1746975;207383689;9L27297931473;Coliposte
Louna;Vidal;46378;;;MB4008043_1753431;207628428;XU732064001FR;Chronopost
Enzo;Gonzalez;93225;;;MB4031202_1757707;207640901;00DOAYO0;GLS
Pierre;Poirier;98298;;;MB4031677_1758071;207641047;00DNIS41;GLS
Rayan;Le roux;10720;;;MB3985940_1755363;207293063;XU733636757FR;Chronopost
Mael;Lacroix;53663;;;MB4012150_1757315;207639811;00DO4CU5;GLS
Axel;Marie;34766;;;MB3999008_1755449;207638982;00DOAVFM;GLS
Mathéo;Bernard;63880;;;MB4023008_1758671;207629083;XT337379562FR;Chronopost
Ines;Nguyen;77618;;;MB4026907_1756568;207346115;XT337184708FR;Chronopost
Juliette;Perrin;75001;;;MB4012868_1755998;207628391;XU733720741FR;Chronopost
Paul;Guyot;50158;;;MB4031286_1757756;207637193;00DNV99T;GLS
Julie;Noel;98295;;;MB4000594_1755736;207638992;00DNG8I8;GLS
Marie;Bernard;92944;;;MB3979758_1756080;207627288;XU735513835FR;Chronopost
Manon;Paris;81589;;;MB4002821_1755254;207335964;8686291;Mondial Relay
Julien;Robin;42477;;;MB4029156_1754472;207337124;8685940;Mondial Relay
Enzo;Philippe;36050;;;ES4029070_1755135;207337713;8686235;Mondial Relay
